time,temperature,humidity,note,
2023/10/11 20:04:54,"23.69℃","73.81%",""
2023/10/11 20:14:54,"23.69℃","72.81%",""
2023/10/11 20:24:54,"23.63℃","72.06%",""
2023/10/11 20:34:54,"23.63℃","71.69%",""
2023/10/11 20:44:54,"23.63℃","73.69%",""
2023/10/11 20:54:54,"23.56℃","72.69%",""
2023/10/11 21:04:54,"23.56℃","72.19%",""
2023/10/11 21:14:54,"23.50℃","71.81%",""
2023/10/11 21:24:54,"23.56℃","74.44%",""
2023/10/11 21:34:54,"23.56℃","74.56%",""
2023/10/11 21:44:54,"23.56℃","74.50%",""
2023/10/11 21:54:54,"23.56℃","74.38%",""
2023/10/11 22:04:54,"23.56℃","74.19%",""
2023/10/11 22:14:54,"23.56℃","74.00%",""
2023/10/11 22:24:54,"23.56℃","73.81%",""
2023/10/11 22:34:54,"23.56℃","73.62%",""
2023/10/11 22:44:54,"23.56℃","73.44%",""
2023/10/11 22:54:54,"23.63℃","73.44%",""
2023/10/11 23:04:54,"23.56℃","73.50%",""
2023/10/11 23:14:54,"23.50℃","73.19%",""
2023/10/11 23:24:54,"23.50℃","73.25%",""
2023/10/11 23:34:54,"23.50℃","73.19%",""
2023/10/11 23:44:54,"23.44℃","73.62%",""
2023/10/11 23:54:54,"23.44℃","73.81%",""
2023/10/12 00:04:54,"23.44℃","73.56%",""
2023/10/12 00:14:54,"23.50℃","74.38%",""
2023/10/12 00:24:54,"23.63℃","74.50%",""
2023/10/12 00:34:54,"23.56℃","74.50%",""
2023/10/12 00:44:54,"23.56℃","74.12%",""
2023/10/12 00:54:54,"23.50℃","73.94%",""
2023/10/12 01:04:54,"23.44℃","73.75%",""
2023/10/12 01:14:54,"23.44℃","73.62%",""
2023/10/12 01:24:54,"23.38℃","73.50%",""
2023/10/12 01:34:54,"23.38℃","73.38%",""
2023/10/12 01:44:54,"23.38℃","73.31%",""
2023/10/12 01:54:54,"23.38℃","73.00%",""
2023/10/12 02:04:54,"23.31℃","72.88%",""
2023/10/12 02:14:54,"23.31℃","72.88%",""
2023/10/12 02:24:54,"23.31℃","72.75%",""
2023/10/12 02:34:54,"23.25℃","72.75%",""
2023/10/12 02:44:54,"23.25℃","72.75%",""
2023/10/12 02:54:54,"23.25℃","72.69%",""
2023/10/12 03:04:54,"23.25℃","72.69%",""
2023/10/12 03:14:54,"23.19℃","72.69%",""
2023/10/12 03:24:54,"23.19℃","72.62%",""
